InstanceType,status,lifetime,Vender
inf1.2xlarge,0,86399,AWS
inf1.2xlarge,0,1,AWS
inf1.2xlarge,0,1,AWS
is4gen.2xlarge,0,86399,AWS
m1.large,0,86395,AWS
m1.large,0,86398,AWS
m1.large,0,1,AWS
m1.large,1,68723,AWS
m2.2xlarge,0,86399,AWS
m2.2xlarge,0,86395,AWS
m3.2xlarge,1,335,AWS
m3.2xlarge,1,196,AWS
m3.2xlarge,1,406,AWS
m4.10xlarge,1,2228,AWS
m4.10xlarge,1,120,AWS
m4.10xlarge,1,2144,AWS
m4.10xlarge,1,3765,AWS
m4.10xlarge,1,1178,AWS
m4.10xlarge,1,4264,AWS
m4.10xlarge,1,914,AWS
m4.10xlarge,1,3976,AWS
m4.10xlarge,1,923,AWS
m4.10xlarge,1,1183,AWS
m4.10xlarge,1,109,AWS
m4.10xlarge,1,11993,AWS
m4.10xlarge,1,783,AWS
m4.10xlarge,1,519,AWS
m4.10xlarge,1,4647,AWS
m4.10xlarge,1,524,AWS
m4.10xlarge,0,86397,AWS
m4.10xlarge,1,26004,AWS
m4.10xlarge,1,2115,AWS
m4.10xlarge,1,2284,AWS
m4.10xlarge,1,2122,AWS
m4.10xlarge,1,2586,AWS
m4.10xlarge,1,3275,AWS
m4.10xlarge,1,1349,AWS
m4.10xlarge,1,91,AWS
m4.10xlarge,1,53122,AWS
m4.10xlarge,1,636,AWS
m4.10xlarge,1,1890,AWS
m4.10xlarge,1,2641,AWS
m4.10xlarge,1,1500,AWS
m4.10xlarge,1,5162,AWS
m4.10xlarge,1,6891,AWS
m4.10xlarge,1,6777,AWS
m4.10xlarge,1,1748,AWS
m5.12xlarge,1,23694,AWS
m5.12xlarge,1,22262,AWS
m5.12xlarge,1,22360,AWS
m5.12xlarge,1,36763,AWS
m5.12xlarge,1,7724,AWS
m5.12xlarge,1,1676,AWS
m5.12xlarge,1,13568,AWS
m5.12xlarge,1,3295,AWS
m5.2xlarge,1,7786,AWS
m5.2xlarge,1,60193,AWS
m5.2xlarge,1,2142,AWS
m5.2xlarge,1,71106,AWS
m5.2xlarge,1,209,AWS
m5a.12xlarge,1,20844,AWS
m5a.12xlarge,1,119,AWS
m5a.12xlarge,1,19148,AWS
m5a.12xlarge,1,10783,AWS
m5a.12xlarge,1,10,AWS
m5a.12xlarge,1,3504,AWS
m5a.12xlarge,1,8480,AWS
m5a.12xlarge,1,1973,AWS
m5a.2xlarge,0,86397,AWS
m5ad.12xlarge,0,86399,AWS
m5d.12xlarge,1,85303,AWS
m5d.12xlarge,0,2,AWS
m5d.12xlarge,0,86398,AWS
m5d.12xlarge,0,86398,AWS
m5d.2xlarge,0,1,AWS
m5n.12xlarge,1,31530,AWS
m5n.2xlarge,0,2,AWS
m5zn.12xlarge,0,86397,AWS
m5zn.12xlarge,1,85451,AWS
m5zn.2xlarge,0,1,AWS
m6a.12xlarge,0,2,AWS
m6a.12xlarge,0,1,AWS
m6g.12xlarge,0,86399,AWS
m6g.12xlarge,0,2,AWS
m6g.12xlarge,0,86398,AWS
m6g.12xlarge,0,1,AWS
m6gd.12xlarge,1,77744,AWS
m6gd.12xlarge,0,2,AWS
m6gd.12xlarge,0,86399,AWS
m6gd.12xlarge,1,30258,AWS
m6gd.12xlarge,1,10242,AWS
m6gd.12xlarge,1,17850,AWS
m6i.12xlarge,0,86399,AWS
m6i.12xlarge,1,14906,AWS
m6i.12xlarge,1,21679,AWS
m6i.12xlarge,1,59039,AWS
m6i.2xlarge,1,32480,AWS
m6id.12xlarge,0,86399,AWS
m6id.12xlarge,0,2,AWS
m6id.12xlarge,0,2,AWS
p2.xlarge,1,45770,AWS
p2.xlarge,1,5941,AWS
p2.xlarge,1,1635,AWS
p2.xlarge,1,5572,AWS
p2.xlarge,1,14870,AWS
p2.xlarge,1,2123,AWS
p2.xlarge,1,2230,AWS
p3.2xlarge,1,949,AWS
r3.2xlarge,1,16917,AWS
r3.2xlarge,1,14295,AWS
r3.2xlarge,1,28612,AWS
r3.2xlarge,1,8261,AWS
r3.2xlarge,1,6833,AWS
r3.2xlarge,1,2913,AWS
r3.2xlarge,1,1991,AWS
r3.2xlarge,1,2519,AWS
r3.2xlarge,1,23147,AWS
r3.2xlarge,1,133,AWS
r3.2xlarge,1,721,AWS
r3.2xlarge,1,1620,AWS
r3.2xlarge,1,14058,AWS
r3.2xlarge,1,706,AWS
r4.16xlarge,1,27380,AWS
r4.16xlarge,1,5670,AWS
r4.16xlarge,1,3132,AWS
r4.16xlarge,1,7046,AWS
r4.16xlarge,1,10244,AWS
r4.16xlarge,1,502,AWS
r4.16xlarge,1,8943,AWS
r4.2xlarge,0,2,AWS
r5a.12xlarge,1,61412,AWS
r5a.12xlarge,0,86397,AWS
r5a.12xlarge,0,3,AWS
r5a.12xlarge,1,71653,AWS
r5ad.12xlarge,1,71626,AWS
r5ad.12xlarge,1,67,AWS
r5ad.12xlarge,1,384,AWS
r5ad.12xlarge,1,71732,AWS
r5ad.2xlarge,0,1,AWS
r5ad.2xlarge,0,86397,AWS
r5b.12xlarge,0,86396,AWS
r5b.12xlarge,0,86396,AWS
r5b.12xlarge,0,1,AWS
r5b.12xlarge,1,240,AWS
r5b.12xlarge,1,3603,AWS
r5b.2xlarge,0,86399,AWS
r5b.2xlarge,0,2,AWS
r5d.12xlarge,1,6568,AWS
r5d.12xlarge,1,13633,AWS
r5d.12xlarge,0,4,AWS
r5d.12xlarge,1,2334,AWS
r5d.12xlarge,1,400,AWS
r5d.12xlarge,1,475,AWS
r5d.12xlarge,1,697,AWS
r5d.12xlarge,1,3580,AWS
r5d.12xlarge,1,302,AWS
r5d.2xlarge,0,86394,AWS
r5dn.12xlarge,0,86399,AWS
r5dn.12xlarge,0,86399,AWS
r5dn.12xlarge,0,2,AWS
r5dn.12xlarge,0,86397,AWS
r5dn.2xlarge,0,86396,AWS
r5dn.2xlarge,0,1,AWS
r5dn.2xlarge,0,86399,AWS
r5n.12xlarge,0,3,AWS
r5n.12xlarge,0,2,AWS
r6g.12xlarge,0,86398,AWS
r6g.12xlarge,0,86399,AWS
r6g.12xlarge,0,86395,AWS
r6gd.12xlarge,1,64364,AWS
r6gd.12xlarge,0,2,AWS
r6gd.12xlarge,0,22128,AWS
r6i.12xlarge,0,85012,AWS
r6i.12xlarge,0,86398,AWS
r6i.12xlarge,1,9552,AWS
r6i.12xlarge,1,8703,AWS
r6i.12xlarge,1,26590,AWS
r6i.12xlarge,1,20548,AWS
r6i.2xlarge,1,49653,AWS
r6id.12xlarge,0,1,AWS
t1.micro,1,10042,AWS
t1.micro,1,71531,AWS
t1.micro,1,1369,AWS
t2.2xlarge,0,86397,AWS
t2.2xlarge,0,86399,AWS
t2.2xlarge,0,2,AWS
t2.2xlarge,1,82170,AWS
t2.2xlarge,0,86398,AWS
t2.2xlarge,0,4,AWS
t3.2xlarge,0,86399,AWS
t3.2xlarge,0,2,AWS
t3.2xlarge,0,86395,AWS
t3.2xlarge,0,86394,AWS
t3a.2xlarge,0,86399,AWS
t3a.2xlarge,0,86397,AWS
t3a.2xlarge,0,2,AWS
t3a.2xlarge,0,2,AWS
t3a.2xlarge,0,86393,AWS
t3a.2xlarge,0,86398,AWS
t3a.2xlarge,0,86396,AWS
t4g.2xlarge,0,86399,AWS
t4g.2xlarge,0,1,AWS
t4g.2xlarge,0,3,AWS
t4g.2xlarge,0,86395,AWS
x1e.2xlarge,0,86396,AWS
x1e.2xlarge,0,86398,AWS
x1e.2xlarge,0,86398,AWS
x1e.2xlarge,1,28652,AWS
x2gd.2xlarge,0,3,AWS
x2iedn.2xlarge,0,86397,AWS
x2iedn.2xlarge,0,86395,AWS
x2iedn.2xlarge,0,2,AWS
x2iedn.2xlarge,0,2,AWS
x2iedn.2xlarge,0,86398,AWS
x2iedn.2xlarge,0,2,AWS
x2iedn.2xlarge,0,86397,AWS
x2iezn.2xlarge,0,86396,AWS
a1.large,1,41105,AWS
c1.medium,1,22842,AWS
c1.medium,1,1929,AWS
c1.medium,1,10034,AWS
c1.medium,1,1579,AWS
c1.medium,1,296,AWS
c1.xlarge,1,585,AWS
c1.xlarge,1,15144,AWS
c1.xlarge,1,31450,AWS
c1.xlarge,1,1979,AWS
c1.xlarge,1,4316,AWS
c3.2xlarge,1,98,AWS
c3.2xlarge,1,28954,AWS
c3.2xlarge,1,148,AWS
c5a.12xlarge,1,89,AWS
c5a.12xlarge,1,110,AWS
c5a.12xlarge,1,1407,AWS
c5a.12xlarge,1,1580,AWS
c5a.2xlarge,1,39848,AWS
c5a.2xlarge,1,5389,AWS
c5a.2xlarge,1,1976,AWS
c5a.2xlarge,1,3005,AWS
c5a.4xlarge,1,4300,AWS
c5a.4xlarge,1,2152,AWS
c5a.4xlarge,1,1160,AWS
c5a.4xlarge,1,2175,AWS
c5a.4xlarge,1,15588,AWS
c5a.4xlarge,1,27924,AWS
c5a.4xlarge,1,2650,AWS
c5a.4xlarge,1,3313,AWS
c5a.4xlarge,1,1236,AWS
c5a.4xlarge,1,2946,AWS
c5a.4xlarge,1,2763,AWS
c5a.4xlarge,1,2769,AWS
c5ad.12xlarge,1,50205,AWS
c6a.8xlarge,1,8415,AWS
c6a.8xlarge,1,3920,AWS
c6a.8xlarge,1,7604,AWS
c6a.8xlarge,1,5147,AWS
c6a.8xlarge,1,4056,AWS
c6a.8xlarge,1,6888,AWS
c6a.8xlarge,1,20498,AWS
c6g.12xlarge,1,5203,AWS
c6g.12xlarge,1,6704,AWS
c6g.12xlarge,1,945,AWS
c6g.12xlarge,1,4260,AWS
c6g.12xlarge,1,2126,AWS
c6g.12xlarge,1,80,AWS
c6g.12xlarge,1,1315,AWS
c6g.12xlarge,1,3226,AWS
c6g.12xlarge,1,16230,AWS
c6g.12xlarge,1,8794,AWS
c6g.12xlarge,1,18419,AWS
c6g.8xlarge,1,1251,AWS
c6g.8xlarge,1,3264,AWS
c6g.8xlarge,1,3327,AWS
c6g.8xlarge,1,362,AWS
c6g.8xlarge,1,2502,AWS
c6g.8xlarge,1,2622,AWS
c6g.8xlarge,1,572,AWS
c6g.8xlarge,1,800,AWS
c6g.8xlarge,1,536,AWS
c6g.8xlarge,1,862,AWS
c6g.8xlarge,1,3759,AWS
c6g.8xlarge,1,2510,AWS
c6g.8xlarge,1,2999,AWS
c6g.8xlarge,1,6330,AWS
c6g.8xlarge,1,49,AWS
c6g.8xlarge,1,2627,AWS
c6g.8xlarge,1,4606,AWS
c6g.8xlarge,1,1937,AWS
c6g.8xlarge,1,2212,AWS
c6g.8xlarge,1,2240,AWS
c6g.8xlarge,1,3054,AWS
c6g.xlarge,1,86235,AWS
c6gd.12xlarge,1,316,AWS
c6gd.12xlarge,1,469,AWS
h1.4xlarge,1,41158,AWS
i3.2xlarge,1,52977,AWS
i3.2xlarge,1,1969,AWS
i3.2xlarge,1,177,AWS
i3.2xlarge,1,16355,AWS
i3.8xlarge,1,75,AWS
